dateGame,locationGame,slugTeam,Opp,namePlayer,3-pointers,fg3a,rebounds,assists,steals,blocks,turnovers,points,urlPlayerHeadshot
2021-10-19,H,MIL,BKN,Khris Middleton,1,4,9,3,1,0,1,20,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203114.png
2021-10-19,A,BKN,MIL,James Johnson,0,1,0,2,0,1,0,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201949.png
2021-10-19,A,BKN,MIL,Kevin Durant,3,7,11,4,0,2,1,32,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201142.png
2021-10-19,A,BKN,MIL,Bruce Brown,0,0,1,0,0,1,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png
2021-10-19,A,BKN,MIL,Nic Claxton,0,0,7,0,0,0,0,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629651.png
2021-10-19,H,MIL,BKN,Brook Lopez,2,4,5,0,1,3,0,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201572.png
2021-10-19,A,BKN,MIL,Blake Griffin,0,1,5,0,1,0,1,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201933.png
2021-10-19,H,MIL,BKN,Giannis Antetokounmpo,1,4,14,7,1,2,4,32,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png
2021-10-19,A,BKN,MIL,Cam Thomas,0,1,0,0,0,0,1,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630560.png
2021-10-19,H,MIL,BKN,George Hill,0,2,5,3,0,1,1,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201588.png
2021-10-19,H,MIL,BKN,Jrue Holiday,2,4,1,1,1,0,0,12,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png
2021-10-19,H,MIL,BKN,Pat Connaughton,4,9,3,2,1,1,0,20,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626192.png
2021-10-19,H,MIL,BKN,Sandro Mamukelashvili,0,0,1,1,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630572.png
2021-10-19,A,BKN,MIL,DeAndre' Bembry,0,0,0,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627761.png
2021-10-19,A,BKN,MIL,Paul Millsap,0,0,3,0,0,1,1,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200794.png
2021-10-19,H,MIL,BKN,Georgios Kalaitzakis,0,0,2,0,0,0,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630686.png
2021-10-19,H,MIL,BKN,Justin Robinson,1,2,0,0,0,0,0,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629620.png
2021-10-19,H,MIL,BKN,Grayson Allen,3,10,4,6,2,0,0,10,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png
